"","manufacturer","model","displ","year","cyl","trans","drv","city","highway","fl","class","total","av"
"39","dodge","caravan 2wd",3,1999,6,"auto(l4)","f",17,24,"r","minivan",41,20.5
"40","dodge","caravan 2wd",3.3,1999,6,"auto(l4)","f",16,22,"r","minivan",38,19
"41","dodge","caravan 2wd",3.3,1999,6,"auto(l4)","f",16,22,"r","minivan",38,19
"42","dodge","caravan 2wd",3.3,2008,6,"auto(l4)","f",17,24,"r","minivan",41,20.5
"43","dodge","caravan 2wd",3.3,2008,6,"auto(l4)","f",17,24,"r","minivan",41,20.5
"44","dodge","caravan 2wd",3.3,2008,6,"auto(l4)","f",11,17,"e","minivan",28,14
"45","dodge","caravan 2wd",3.8,1999,6,"auto(l4)","f",15,22,"r","minivan",37,18.5
"46","dodge","caravan 2wd",3.8,1999,6,"auto(l4)","f",15,21,"r","minivan",36,18
"47","dodge","caravan 2wd",3.8,2008,6,"auto(l6)","f",16,23,"r","minivan",39,19.5
"48","dodge","caravan 2wd",4,2008,6,"auto(l6)","f",16,23,"r","minivan",39,19.5
"49","dodge","dakota pickup 4wd",3.7,2008,6,"manual(m6)","4",15,19,"r","pickup",34,17
"50","dodge","dakota pickup 4wd",3.7,2008,6,"auto(l4)","4",14,18,"r","pickup",32,16
"51","dodge","dakota pickup 4wd",3.9,1999,6,"auto(l4)","4",13,17,"r","pickup",30,15
"52","dodge","dakota pickup 4wd",3.9,1999,6,"manual(m5)","4",14,17,"r","pickup",31,15.5
"53","dodge","dakota pickup 4wd",4.7,2008,8,"auto(l5)","4",14,19,"r","pickup",33,16.5
"54","dodge","dakota pickup 4wd",4.7,2008,8,"auto(l5)","4",14,19,"r","pickup",33,16.5
"55","dodge","dakota pickup 4wd",4.7,2008,8,"auto(l5)","4",9,12,"e","pickup",21,10.5
"56","dodge","dakota pickup 4wd",5.2,1999,8,"manual(m5)","4",11,17,"r","pickup",28,14
"57","dodge","dakota pickup 4wd",5.2,1999,8,"auto(l4)","4",11,15,"r","pickup",26,13
"58","dodge","durango 4wd",3.9,1999,6,"auto(l4)","4",13,17,"r","suv",30,15
"59","dodge","durango 4wd",4.7,2008,8,"auto(l5)","4",13,17,"r","suv",30,15
"60","dodge","durango 4wd",4.7,2008,8,"auto(l5)","4",9,12,"e","suv",21,10.5
"61","dodge","durango 4wd",4.7,2008,8,"auto(l5)","4",13,17,"r","suv",30,15
"62","dodge","durango 4wd",5.2,1999,8,"auto(l4)","4",11,16,"r","suv",27,13.5
"63","dodge","durango 4wd",5.7,2008,8,"auto(l5)","4",13,18,"r","suv",31,15.5
"64","dodge","durango 4wd",5.9,1999,8,"auto(l4)","4",11,15,"r","suv",26,13
"65","dodge","ram 1500 pickup 4wd",4.7,2008,8,"manual(m6)","4",12,16,"r","pickup",28,14
"66","dodge","ram 1500 pickup 4wd",4.7,2008,8,"auto(l5)","4",9,12,"e","pickup",21,10.5
"67","dodge","ram 1500 pickup 4wd",4.7,2008,8,"auto(l5)","4",13,17,"r","pickup",30,15
"68","dodge","ram 1500 pickup 4wd",4.7,2008,8,"auto(l5)","4",13,17,"r","pickup",30,15
"69","dodge","ram 1500 pickup 4wd",4.7,2008,8,"manual(m6)","4",12,16,"r","pickup",28,14
"70","dodge","ram 1500 pickup 4wd",4.7,2008,8,"manual(m6)","4",9,12,"e","pickup",21,10.5
"71","dodge","ram 1500 pickup 4wd",5.2,1999,8,"auto(l4)","4",11,15,"r","pickup",26,13
"72","dodge","ram 1500 pickup 4wd",5.2,1999,8,"manual(m5)","4",11,16,"r","pickup",27,13.5
"73","dodge","ram 1500 pickup 4wd",5.7,2008,8,"auto(l5)","4",13,17,"r","pickup",30,15
"74","dodge","ram 1500 pickup 4wd",5.9,1999,8,"auto(l4)","4",11,15,"r","pickup",26,13
"75","ford","expedition 2wd",4.6,1999,8,"auto(l4)","r",11,17,"r","suv",28,14
"76","ford","expedition 2wd",5.4,1999,8,"auto(l4)","r",11,17,"r","suv",28,14
"77","ford","expedition 2wd",5.4,2008,8,"auto(l6)","r",12,18,"r","suv",30,15
"78","ford","explorer 4wd",4,1999,6,"auto(l5)","4",14,17,"r","suv",31,15.5
"79","ford","explorer 4wd",4,1999,6,"manual(m5)","4",15,19,"r","suv",34,17
"80","ford","explorer 4wd",4,1999,6,"auto(l5)","4",14,17,"r","suv",31,15.5
"81","ford","explorer 4wd",4,2008,6,"auto(l5)","4",13,19,"r","suv",32,16
"82","ford","explorer 4wd",4.6,2008,8,"auto(l6)","4",13,19,"r","suv",32,16
"83","ford","explorer 4wd",5,1999,8,"auto(l4)","4",13,17,"r","suv",30,15
"84","ford","f150 pickup 4wd",4.2,1999,6,"auto(l4)","4",14,17,"r","pickup",31,15.5
"85","ford","f150 pickup 4wd",4.2,1999,6,"manual(m5)","4",14,17,"r","pickup",31,15.5
"86","ford","f150 pickup 4wd",4.6,1999,8,"manual(m5)","4",13,16,"r","pickup",29,14.5
"87","ford","f150 pickup 4wd",4.6,1999,8,"auto(l4)","4",13,16,"r","pickup",29,14.5
"88","ford","f150 pickup 4wd",4.6,2008,8,"auto(l4)","4",13,17,"r","pickup",30,15
"89","ford","f150 pickup 4wd",5.4,1999,8,"auto(l4)","4",11,15,"r","pickup",26,13
"90","ford","f150 pickup 4wd",5.4,2008,8,"auto(l4)","4",13,17,"r","pickup",30,15
"91","ford","mustang",3.8,1999,6,"manual(m5)","r",18,26,"r","subcompact",44,22
"92","ford","mustang",3.8,1999,6,"auto(l4)","r",18,25,"r","subcompact",43,21.5
"93","ford","mustang",4,2008,6,"manual(m5)","r",17,26,"r","subcompact",43,21.5
"94","ford","mustang",4,2008,6,"auto(l5)","r",16,24,"r","subcompact",40,20
"95","ford","mustang",4.6,1999,8,"auto(l4)","r",15,21,"r","subcompact",36,18
"96","ford","mustang",4.6,1999,8,"manual(m5)","r",15,22,"r","subcompact",37,18.5
"97","ford","mustang",4.6,2008,8,"manual(m5)","r",15,23,"r","subcompact",38,19
"98","ford","mustang",4.6,2008,8,"auto(l5)","r",15,22,"r","subcompact",37,18.5
"99","ford","mustang",5.4,2008,8,"manual(m6)","r",14,20,"p","subcompact",34,17
"100","honda","civic",1.6,1999,4,"manual(m5)","f",28,33,"r","subcompact",61,30.5
"101","honda","civic",1.6,1999,4,"auto(l4)","f",24,32,"r","subcompact",56,28
"102","honda","civic",1.6,1999,4,"manual(m5)","f",25,32,"r","subcompact",57,28.5
"103","honda","civic",1.6,1999,4,"manual(m5)","f",23,29,"p","subcompact",52,26
"104","honda","civic",1.6,1999,4,"auto(l4)","f",24,32,"r","subcompact",56,28
"105","honda","civic",1.8,2008,4,"manual(m5)","f",26,34,"r","subcompact",60,30
"106","honda","civic",1.8,2008,4,"auto(l5)","f",25,36,"r","subcompact",61,30.5
"107","honda","civic",1.8,2008,4,"auto(l5)","f",24,36,"c","subcompact",60,30
"108","honda","civic",2,2008,4,"manual(m6)","f",21,29,"p","subcompact",50,25
"109","hyundai","sonata",2.4,1999,4,"auto(l4)","f",18,26,"r","midsize",44,22
"110","hyundai","sonata",2.4,1999,4,"manual(m5)","f",18,27,"r","midsize",45,22.5
"111","hyundai","sonata",2.4,2008,4,"auto(l4)","f",21,30,"r","midsize",51,25.5
"112","hyundai","sonata",2.4,2008,4,"manual(m5)","f",21,31,"r","midsize",52,26
"113","hyundai","sonata",2.5,1999,6,"auto(l4)","f",18,26,"r","midsize",44,22
"114","hyundai","sonata",2.5,1999,6,"manual(m5)","f",18,26,"r","midsize",44,22
"115","hyundai","sonata",3.3,2008,6,"auto(l5)","f",19,28,"r","midsize",47,23.5
"116","hyundai","tiburon",2,1999,4,"auto(l4)","f",19,26,"r","subcompact",45,22.5
"117","hyundai","tiburon",2,1999,4,"manual(m5)","f",19,29,"r","subcompact",48,24
"118","hyundai","tiburon",2,2008,4,"manual(m5)","f",20,28,"r","subcompact",48,24
"119","hyundai","tiburon",2,2008,4,"auto(l4)","f",20,27,"r","subcompact",47,23.5
"120","hyundai","tiburon",2.7,2008,6,"auto(l4)","f",17,24,"r","subcompact",41,20.5
"121","hyundai","tiburon",2.7,2008,6,"manual(m6)","f",16,24,"r","subcompact",40,20
"122","hyundai","tiburon",2.7,2008,6,"manual(m5)","f",17,24,"r","subcompact",41,20.5
"123","jeep","grand cherokee 4wd",3,2008,6,"auto(l5)","4",17,22,"d","suv",39,19.5
"124","jeep","grand cherokee 4wd",3.7,2008,6,"auto(l5)","4",15,19,"r","suv",34,17
"125","jeep","grand cherokee 4wd",4,1999,6,"auto(l4)","4",15,20,"r","suv",35,17.5
"126","jeep","grand cherokee 4wd",4.7,1999,8,"auto(l4)","4",14,17,"r","suv",31,15.5
"127","jeep","grand cherokee 4wd",4.7,2008,8,"auto(l5)","4",9,12,"e","suv",21,10.5
"128","jeep","grand cherokee 4wd",4.7,2008,8,"auto(l5)","4",14,19,"r","suv",33,16.5
"129","jeep","grand cherokee 4wd",5.7,2008,8,"auto(l5)","4",13,18,"r","suv",31,15.5
"130","jeep","grand cherokee 4wd",6.1,2008,8,"auto(l5)","4",11,14,"p","suv",25,12.5
"131","land rover","range rover",4,1999,8,"auto(l4)","4",11,15,"p","suv",26,13
"132","land rover","range rover",4.2,2008,8,"auto(s6)","4",12,18,"r","suv",30,15
"133","land rover","range rover",4.4,2008,8,"auto(s6)","4",12,18,"r","suv",30,15
"134","land rover","range rover",4.6,1999,8,"auto(l4)","4",11,15,"p","suv",26,13
"135","lincoln","navigator 2wd",5.4,1999,8,"auto(l4)","r",11,17,"r","suv",28,14
"136","lincoln","navigator 2wd",5.4,1999,8,"auto(l4)","r",11,16,"p","suv",27,13.5
"137","lincoln","navigator 2wd",5.4,2008,8,"auto(l6)","r",12,18,"r","suv",30,15
"138","mercury","mountaineer 4wd",4,1999,6,"auto(l5)","4",14,17,"r","suv",31,15.5
"139","mercury","mountaineer 4wd",4,2008,6,"auto(l5)","4",13,19,"r","suv",32,16
"140","mercury","mountaineer 4wd",4.6,2008,8,"auto(l6)","4",13,19,"r","suv",32,16
"141","mercury","mountaineer 4wd",5,1999,8,"auto(l4)","4",13,17,"r","suv",30,15
"142","nissan","altima",2.4,1999,4,"manual(m5)","f",21,29,"r","compact",50,25
"143","nissan","altima",2.4,1999,4,"auto(l4)","f",19,27,"r","compact",46,23
"144","nissan","altima",2.5,2008,4,"auto(av)","f",23,31,"r","midsize",54,27
"145","nissan","altima",2.5,2008,4,"manual(m6)","f",23,32,"r","midsize",55,27.5
"146","nissan","altima",3.5,2008,6,"manual(m6)","f",19,27,"p","midsize",46,23
"147","nissan","altima",3.5,2008,6,"auto(av)","f",19,26,"p","midsize",45,22.5
"148","nissan","maxima",3,1999,6,"auto(l4)","f",18,26,"r","midsize",44,22
"149","nissan","maxima",3,1999,6,"manual(m5)","f",19,25,"r","midsize",44,22
"150","nissan","maxima",3.5,2008,6,"auto(av)","f",19,25,"p","midsize",44,22
"151","nissan","pathfinder 4wd",3.3,1999,6,"auto(l4)","4",14,17,"r","suv",31,15.5
"152","nissan","pathfinder 4wd",3.3,1999,6,"manual(m5)","4",15,17,"r","suv",32,16
"153","nissan","pathfinder 4wd",4,2008,6,"auto(l5)","4",14,20,"p","suv",34,17
"154","nissan","pathfinder 4wd",5.6,2008,8,"auto(s5)","4",12,18,"p","suv",30,15
"155","pontiac","grand prix",3.1,1999,6,"auto(l4)","f",18,26,"r","midsize",44,22
"156","pontiac","grand prix",3.8,1999,6,"auto(l4)","f",16,26,"p","midsize",42,21
"157","pontiac","grand prix",3.8,1999,6,"auto(l4)","f",17,27,"r","midsize",44,22
"158","pontiac","grand prix",3.8,2008,6,"auto(l4)","f",18,28,"r","midsize",46,23
"159","pontiac","grand prix",5.3,2008,8,"auto(s4)","f",16,25,"p","midsize",41,20.5
"160","subaru","forester awd",2.5,1999,4,"manual(m5)","4",18,25,"r","suv",43,21.5
"161","subaru","forester awd",2.5,1999,4,"auto(l4)","4",18,24,"r","suv",42,21
"162","subaru","forester awd",2.5,2008,4,"manual(m5)","4",20,27,"r","suv",47,23.5
"163","subaru","forester awd",2.5,2008,4,"manual(m5)","4",19,25,"p","suv",44,22
"164","subaru","forester awd",2.5,2008,4,"auto(l4)","4",20,26,"r","suv",46,23
"165","subaru","forester awd",2.5,2008,4,"auto(l4)","4",18,23,"p","suv",41,20.5
"166","subaru","impreza awd",2.2,1999,4,"auto(l4)","4",21,26,"r","subcompact",47,23.5
"167","subaru","impreza awd",2.2,1999,4,"manual(m5)","4",19,26,"r","subcompact",45,22.5
"168","subaru","impreza awd",2.5,1999,4,"manual(m5)","4",19,26,"r","subcompact",45,22.5
"169","subaru","impreza awd",2.5,1999,4,"auto(l4)","4",19,26,"r","subcompact",45,22.5
"170","subaru","impreza awd",2.5,2008,4,"auto(s4)","4",20,25,"p","compact",45,22.5
"171","subaru","impreza awd",2.5,2008,4,"auto(s4)","4",20,27,"r","compact",47,23.5
"172","subaru","impreza awd",2.5,2008,4,"manual(m5)","4",19,25,"p","compact",44,22
"173","subaru","impreza awd",2.5,2008,4,"manual(m5)","4",20,27,"r","compact",47,23.5
"174","toyota","4runner 4wd",2.7,1999,4,"manual(m5)","4",15,20,"r","suv",35,17.5
"175","toyota","4runner 4wd",2.7,1999,4,"auto(l4)","4",16,20,"r","suv",36,18
"176","toyota","4runner 4wd",3.4,1999,6,"auto(l4)","4",15,19,"r","suv",34,17
"177","toyota","4runner 4wd",3.4,1999,6,"manual(m5)","4",15,17,"r","suv",32,16
"178","toyota","4runner 4wd",4,2008,6,"auto(l5)","4",16,20,"r","suv",36,18
"179","toyota","4runner 4wd",4.7,2008,8,"auto(l5)","4",14,17,"r","suv",31,15.5
"180","toyota","camry",2.2,1999,4,"manual(m5)","f",21,29,"r","midsize",50,25
"181","toyota","camry",2.2,1999,4,"auto(l4)","f",21,27,"r","midsize",48,24
"182","toyota","camry",2.4,2008,4,"manual(m5)","f",21,31,"r","midsize",52,26
"183","toyota","camry",2.4,2008,4,"auto(l5)","f",21,31,"r","midsize",52,26
"184","toyota","camry",3,1999,6,"auto(l4)","f",18,26,"r","midsize",44,22
"185","toyota","camry",3,1999,6,"manual(m5)","f",18,26,"r","midsize",44,22
"186","toyota","camry",3.5,2008,6,"auto(s6)","f",19,28,"r","midsize",47,23.5
"187","toyota","camry solara",2.2,1999,4,"auto(l4)","f",21,27,"r","compact",48,24
"188","toyota","camry solara",2.2,1999,4,"manual(m5)","f",21,29,"r","compact",50,25
"189","toyota","camry solara",2.4,2008,4,"manual(m5)","f",21,31,"r","compact",52,26
"190","toyota","camry solara",2.4,2008,4,"auto(s5)","f",22,31,"r","compact",53,26.5
"191","toyota","camry solara",3,1999,6,"auto(l4)","f",18,26,"r","compact",44,22
"192","toyota","camry solara",3,1999,6,"manual(m5)","f",18,26,"r","compact",44,22
"193","toyota","camry solara",3.3,2008,6,"auto(s5)","f",18,27,"r","compact",45,22.5
"194","toyota","corolla",1.8,1999,4,"auto(l3)","f",24,30,"r","compact",54,27
"195","toyota","corolla",1.8,1999,4,"auto(l4)","f",24,33,"r","compact",57,28.5
"196","toyota","corolla",1.8,1999,4,"manual(m5)","f",26,35,"r","compact",61,30.5
"197","toyota","corolla",1.8,2008,4,"manual(m5)","f",28,37,"r","compact",65,32.5
"198","toyota","corolla",1.8,2008,4,"auto(l4)","f",26,35,"r","compact",61,30.5
"199","toyota","land cruiser wagon 4wd",4.7,1999,8,"auto(l4)","4",11,15,"r","suv",26,13
"200","toyota","land cruiser wagon 4wd",5.7,2008,8,"auto(s6)","4",13,18,"r","suv",31,15.5
"201","toyota","toyota tacoma 4wd",2.7,1999,4,"manual(m5)","4",15,20,"r","pickup",35,17.5
"202","toyota","toyota tacoma 4wd",2.7,1999,4,"auto(l4)","4",16,20,"r","pickup",36,18
"203","toyota","toyota tacoma 4wd",2.7,2008,4,"manual(m5)","4",17,22,"r","pickup",39,19.5
"204","toyota","toyota tacoma 4wd",3.4,1999,6,"manual(m5)","4",15,17,"r","pickup",32,16
"205","toyota","toyota tacoma 4wd",3.4,1999,6,"auto(l4)","4",15,19,"r","pickup",34,17
"206","toyota","toyota tacoma 4wd",4,2008,6,"manual(m6)","4",15,18,"r","pickup",33,16.5
"207","toyota","toyota tacoma 4wd",4,2008,6,"auto(l5)","4",16,20,"r","pickup",36,18
"208","volkswagen","gti",2,1999,4,"manual(m5)","f",21,29,"r","compact",50,25
"209","volkswagen","gti",2,1999,4,"auto(l4)","f",19,26,"r","compact",45,22.5
"210","volkswagen","gti",2,2008,4,"manual(m6)","f",21,29,"p","compact",50,25
"211","volkswagen","gti",2,2008,4,"auto(s6)","f",22,29,"p","compact",51,25.5
"212","volkswagen","gti",2.8,1999,6,"manual(m5)","f",17,24,"r","compact",41,20.5
"213","volkswagen","jetta",1.9,1999,4,"manual(m5)","f",33,44,"d","compact",77,38.5
"214","volkswagen","jetta",2,1999,4,"manual(m5)","f",21,29,"r","compact",50,25
"215","volkswagen","jetta",2,1999,4,"auto(l4)","f",19,26,"r","compact",45,22.5
"216","volkswagen","jetta",2,2008,4,"auto(s6)","f",22,29,"p","compact",51,25.5
"217","volkswagen","jetta",2,2008,4,"manual(m6)","f",21,29,"p","compact",50,25
"218","volkswagen","jetta",2.5,2008,5,"auto(s6)","f",21,29,"r","compact",50,25
"219","volkswagen","jetta",2.5,2008,5,"manual(m5)","f",21,29,"r","compact",50,25
"220","volkswagen","jetta",2.8,1999,6,"auto(l4)","f",16,23,"r","compact",39,19.5
"221","volkswagen","jetta",2.8,1999,6,"manual(m5)","f",17,24,"r","compact",41,20.5
"222","volkswagen","new beetle",1.9,1999,4,"manual(m5)","f",35,44,"d","subcompact",79,39.5
"223","volkswagen","new beetle",1.9,1999,4,"auto(l4)","f",29,41,"d","subcompact",70,35
"224","volkswagen","new beetle",2,1999,4,"manual(m5)","f",21,29,"r","subcompact",50,25
"225","volkswagen","new beetle",2,1999,4,"auto(l4)","f",19,26,"r","subcompact",45,22.5
"226","volkswagen","new beetle",2.5,2008,5,"manual(m5)","f",20,28,"r","subcompact",48,24
"227","volkswagen","new beetle",2.5,2008,5,"auto(s6)","f",20,29,"r","subcompact",49,24.5
"228","volkswagen","passat",1.8,1999,4,"manual(m5)","f",21,29,"p","midsize",50,25
"229","volkswagen","passat",1.8,1999,4,"auto(l5)","f",18,29,"p","midsize",47,23.5
"230","volkswagen","passat",2,2008,4,"auto(s6)","f",19,28,"p","midsize",47,23.5
"231","volkswagen","passat",2,2008,4,"manual(m6)","f",21,29,"p","midsize",50,25
"232","volkswagen","passat",2.8,1999,6,"auto(l5)","f",16,26,"p","midsize",42,21
"233","volkswagen","passat",2.8,1999,6,"manual(m5)","f",18,26,"p","midsize",44,22
"234","volkswagen","passat",3.6,2008,6,"auto(s6)","f",17,26,"p","midsize",43,21.5
